"term","courseid","num.depts","sectionid","has.disc","has.lab","enrolled","capacity","component","dept","number","title","units","time.start","time.end","building","meetings"
1500,81,1,8938,FALSE,FALSE,29,30,"LEC","AAAS","102","INTRO AFR/AFR-AMER ST","1","15:05","16:20","7224","TuTh"
1500,82,5,3224,FALSE,FALSE,45,45,"LEC","HISTORY","129","INTRO TO AFRICAN STUDIES","1","10:05","11:20","7201","MoWe"
1500,22918,5,8848,FALSE,FALSE,9,40,"LEC","ICS","106","INTRO TO LATINO/A STUDIES","1","13:25","14:40","7224","TuTh"
1500,20130,3,6448,FALSE,FALSE,27,35,"LEC","AAAS","134","OLD WORLDS/NEW HISTORIES","1","11:45","13:00","7201","TuTh"
1500,18580,2,7116,FALSE,FALSE,27,75,"LEC","MUSIC","140","INTRODUCTION TO JAZZ","1","16:40","17:55","7232","MoWe"
1500,18192,1,3206,FALSE,FALSE,18,18,"SEM","AAAS","190FS","FOCUS SEMINARS (TOP)","1","11:45","13:00","7224","MoWe"
1500,5263,2,6482,FALSE,FALSE,14,35,"LEC","AAAS","207","AFRICAN AMERICANS SINCE 1865","1","13:25","14:40","7201","TuTh"
1500,5338,3,6356,FALSE,FALSE,9,30,"LEC","HISTORY","327","AFRO-BRAZIL CULTURE/HST","1","13:25","14:40","7224","WeFr"
1500,5180,4,6353,FALSE,FALSE,6,50,"LEC","HISTORY","312","EUR COLONIAL ENCOUNTER","1","8:30","9:45","7224","TuTh"
1500,22535,3,8736,FALSE,FALSE,9,30,"LEC","AAAS","213","GLOBAL BRAZIL","1","11:45","13:00","7261","TuTh"
1500,5211,3,6354,FALSE,FALSE,17,30,"LEC","HISTORY","318","CARIBBEAN 1492-1700","1","12:00","12:50","7232","MoWeFr"
1500,22920,3,9094,FALSE,TRUE,7,10,"SEM","AAAS","221SL","CAPOEIRA: PRACTICE AND CULTURE","1","15:05","16:35","7228","Fr"
1500,610,2,2670,FALSE,FALSE,11,35,"LEC","AAAS","227","AFRICAN AMERICAN ART","1","13:25","14:40","7201","MoWe"
1500,17407,3,7767,FALSE,FALSE,11,13,"SEM","AAAS","231S","FREEDOM STORIES","1","11:45","14:15","8067","We"
1500,20146,3,7773,FALSE,FALSE,14,16,"SEM","CULANTH","246S","CIVIL/HUMAN RIGHTS ACTIVISM","1","15:05","17:35","8067","We"
1500,21369,5,6976,FALSE,FALSE,18,15,"SEM","AAAS","247S","SOCIAL MOVEMENTS/SOCIAL MEDIA","1","10:05","12:35","7214","Tu"
1500,18286,2,2862,FALSE,FALSE,21,30,"LEC","POLSCI","205","RACIAL/ETH MINORITIES AMER POL","1","16:40","17:55","7709","TuTh"
1500,16731,1,10173,FALSE,FALSE,9,18,"SEM","AAAS","290S","SPECIAL TOPCS","1","10:05","12:35","7705","Th"
1500,22147,3,3232,FALSE,FALSE,18,18,"SEM","CULANTH","310S","CONFLICT ANALYSIS IN AFRICA","1","13:25","14:40","7765","MoWe"
1500,22926,3,9084,FALSE,FALSE,54,60,"LEC","MUSIC","336","MICHAEL JACKSON/BLACK PERFORM","1","18:15","20:45","7213","We"
1500,22165,4,3234,FALSE,FALSE,39,40,"LEC","LATAMER","343","MIGRATION & HUMAN TRAFFICKING","1","16:40","19:10","7224","We"
1500,22931,2,9413,FALSE,FALSE,17,18,"SEM","AAAS","345S","MASS INCARCERATION/CITIZENSHIP","1","10:05","11:20","7224","TuTh"
1500,176,1,3215,FALSE,FALSE,13,30,"LEC","AAAS","390","SPECIAL TOPICS","1","15:05","16:20","7710","TuTh"
1500,177,1,3216,FALSE,FALSE,12,18,"SEM","AAAS","390S","SPECIAL TOPICS","1","15:05","17:35","7214","We"
1500,20148,4,6500,FALSE,FALSE,4,15,"SEM","AAAS","407S","CAP SEM: CHINA & INDIA","1","15:05","17:35","7213","Mo"
1500,20491,2,6420,FALSE,FALSE,5,15,"SEM","HISTORY","482S","CAP SEM: POST-CIVIL RGHTS AMER","1","15:05","17:35","7753","Th"
1500,21345,3,3249,FALSE,FALSE,9,18,"SEM","CULANTH","465S","GLOBAL CITIES","1","15:05","16:20","7206","TuTh"
1500,18277,1,5452,FALSE,FALSE,2,15,"LEC","AEROSCI","101","FOUNDATIONS US AIR FORCE","0.5","13:40","14:50","7512","Th"
1500,1006,1,8750,FALSE,FALSE,0,20,"LEC","AEROSCI","201","EVOL US AIR/SPACE POWER","0.5","16:55","17:45","7512","Th"
1500,1007,1,5455,FALSE,FALSE,4,10,"SEM","AEROSCI","301S","AIR FORCE LEADERSHIP/MGT","1","19:30","20:20","7705","We"
1500,1010,1,8751,FALSE,FALSE,0,10,"SEM","AEROSCI","401S","DEFENSE STUDIES","1","13:25","15:00","7512","Th"
1500,1,1,2726,FALSE,FALSE,16,15,"SEM","AMES","89S","FIRST-YEAR SEMINAR (TOP)","1","13:40","16:10","SEE INSTR","Tu"
1500,21417,1,2693,FALSE,FALSE,29,30,"LEC","AMES","205","UNDERSTANDING THE MIDDLE EAST","1","15:05","17:35","7512","We"
1500,14323,3,7177,FALSE,FALSE,17,35,"LEC","MUSIC","234","MUSIC IN EAST ASIA","1","19:30","22:00","7232","Mo"
1500,22875,3,8417,FALSE,FALSE,14,30,"LEC","HISTORY","248","HISTORY AND CULTURE OF IRAN","1","16:55","19:55","7510","Th"
1500,21631,2,6347,FALSE,FALSE,29,35,"LEC","HISTORY","223","MODERN CHINA,1800-PRESENT","1","15:05","16:20","7765","TuTh"
1500,18481,5,2810,FALSE,FALSE,15,18,"LEC","LIT","217","CONTEMPORARY ISRAELI CINEMA","1","10:05","11:20","7198","TuTh"
1500,28,4,2814,FALSE,FALSE,27,30,"LEC","LIT","211","INDIAN CINEMA","1","15:05","16:20","7206","TuTh"
1500,20607,3,6459,FALSE,FALSE,15,15,"SEM","CULANTH","215S","INDIAN CIVILIZATION","1","10:05","11:20","7230","TuTh"
1500,5257,2,9027,FALSE,FALSE,11,30,"LEC","HISTORY","226","ANCIENT AND EARLY MODERN JAPAN","1","15:05","16:20","7228","WeFr"
1500,20160,2,2696,FALSE,FALSE,3,18,"SEM","AMES","272S","KOREAN LIT IN TRANSLATION","1","12:00","14:30","7512","Tu"
1500,22777,2,2697,FALSE,FALSE,7,18,"SEM","AMES","328S","LITERARY ISLAM","1","15:05","17:35","7510","We"
1500,22767,5,2820,FALSE,FALSE,19,18,"SEM","ICS","331S","ISLAMIC MEDIA","1","15:05","17:35","7201","Tu"
1500,22923,3,8973,FALSE,FALSE,11,18,"SEM","AMI","344S","DEATH AND IDENTITY","1","13:25","14:40","7704","TuTh"
1500,16082,2,2699,FALSE,FALSE,43,40,"LEC","AMES","361","ANIME: FORMS AND MUTATIONS","1","15:05","17:35","7201","We"
1500,22582,7,2834,FALSE,FALSE,13,18,"SEM","AMI","415S","INTERETHNIC INTIMACIES","1","12:00","14:30","7214","Th"
1500,23,1,2709,FALSE,FALSE,3,18,"SEM","AMES","423S","INTRO MODERN ARABIC LITERATURE","1","15:05","16:20","7512","TuTh"
1500,22871,1,8366,FALSE,FALSE,14,18,"SEM","AMES","463S","NIGHTMARE JAPAN","1","13:25","15:55","7510","Mo"
1500,19765,4,4832,FALSE,FALSE,42,45,"LEC","ARTSVIS","102","INTRO ARTS OF THE MOVING IMAGE","1","15:05","18:05","7214","We"
1500,3845,6,4809,FALSE,FALSE,42,45,"LEC","AMI","201","INTRO TO FILM STUDIES","1","16:40","17:55","7214","ThTu"
1500,18102,3,4840,FALSE,FALSE,11,45,"LEC","DOCST","107","HISTORY OF DOCUMENTARY FILM","1","16:40","19:40","7201","Mo"
1500,21859,4,4842,FALSE,FALSE,18,18,"SEM","GERMAN","270S","FILM NOIR","1","11:45","13:00","7706","TuTh"
1500,4565,3,4845,FALSE,FALSE,8,30,"LEC","LIT","220","FILM GENRES","1","8:30","9:45","7232","MoFr"
1500,16582,5,3128,FALSE,FALSE,25,25,"LEC","AMI","254","ITALIAN CINEMA","1","10:05","11:20","7705","TuTh"
1500,5278,3,6465,FALSE,FALSE,10,30,"LEC","RUSSIAN","381","RUSSIAN REVOLU CINEMA","1","10:05","11:20","7206","TuTh"
1500,22133,3,2688,FALSE,FALSE,12,15,"SEM","VMS","281S","MOTION DESIGN","1","10:05","12:35","7261","Fr"
1500,4559,3,4813,FALSE,FALSE,16,15,"SEM","AMI","301S","MOVING IMAGE PRACTICE","1","13:25","14:40","7261","TuTh"
1500,3094,3,4655,FALSE,FALSE,17,16,"SEM","ENGLISH","317S","SCREENWRITING","1","15:05","17:35","7791","Mo"
1500,21370,2,4815,FALSE,FALSE,13,16,"SEM","AMI","306S","WRITING THE MOVIE","1","13:25","16:20","7214","We"
1500,4561,3,4816,FALSE,FALSE,7,15,"SEM","AMI","320S","FILM ANIMATION PRODUCTION","1","10:05","11:20","7214","WeFr"
1500,22163,3,6911,FALSE,TRUE,145,144,"LEC","VMS","288L","WEB-BASED MULTIMEDIA COMMUNIC","1","10:20","11:10","7749","Mo"
1500,8062,7,7744,FALSE,FALSE,12,12,"SEM","POLSCI","105S","DOC EXPER: A VIDEO APPR","1","10:05","12:35","8067","We"
1500,20227,2,4817,FALSE,FALSE,7,15,"SEM","AMI","334S","PRODUCING DOCU-FICTION","1","13:25","14:40","7261","MoWe"
1500,20829,3,7763,FALSE,FALSE,12,15,"SEM","PUBPOL","375S","VIDEO FOR SOCIAL CHANGE","1","13:25","15:55","8067","Fr"
1500,21119,3,7765,FALSE,FALSE,10,15,"SEM","AMI","336S","DOCUMENTARY AND POLICY","1","11:45","14:15","8067","Th"
1500,18104,2,4818,FALSE,FALSE,6,15,"SEM","AMI","340S","EXPERIMENTAL FILMMAKING","1","10:05","11:20","7261","WeFr"
1500,20113,3,6756,FALSE,FALSE,10,12,"SEM","DOCST","242S","DANCE FOR THE CAMERA","1","15:05","16:35","7207","TuTh"
1500,20225,1,4820,FALSE,FALSE,14,15,"SEM","AMI","356S","16MM FILM PRODUCTION","1","15:05","18:05","7261","Th"
1500,20226,3,4858,FALSE,FALSE,16,15,"SEM","ISIS","248S","EDITING FOR FILM AND VIDEO","1","13:25","14:40","7261","MoWe"
1500,23079,1,10415,FALSE,FALSE,0,18,"LEC","AMI","390","SPECIAL TOPICS IN AMI","1",NA,NA,NA,NA
1500,21414,1,9068,FALSE,FALSE,3,18,"SEM","AMI","490S","SPECIAL TOPICS IN AMI","1","11:45","13:00","7224","TuTh"
1500,15514,1,4823,FALSE,FALSE,6,18,"SEM","AMI","499S","CAPSTONE: ARTS OF MOVING IMAGE","1","18:15","21:45","7214","Th"
1500,506,1,2729,TRUE,FALSE,11,18,"LEC","ARABIC","101","ELEMENTARY ARABIC","1","13:25","14:40","7512","MoWe"
1500,512,1,2736,TRUE,FALSE,17,30,"LEC","ARABIC","203","INTERMEDIATE ARABIC","1","11:45","13:00","7510","MoWe"
1500,21899,1,2741,FALSE,FALSE,5,25,"LEC","ARABIC","295","ARABIC DIALECT IN MUSIC","1","16:55","18:35","7214","TuTh"
1500,516,1,9655,FALSE,FALSE,10,15,"LEC","ARABIC","305","ADVANCED ARABIC","1","10:20","11:50","7510","TuTh"
1500,22878,1,8373,FALSE,FALSE,7,18,"SEM","ARABIC","328S","LITERARY ISLAM","1","15:05","17:35","7510","We"
1500,524,1,2745,FALSE,FALSE,8,18,"LEC","ARABIC","407","ISSUES IN ARABIC LANG/LIT I","1","15:05","16:20","7510","TuTh"
1500,529,1,8924,FALSE,FALSE,3,15,"SEM","ARTHIST","89S","FIRST-YEAR SEMINAR (TOP)","1","10:05","12:05","7201","Th"
1500,19809,1,2473,FALSE,FALSE,10,18,"SEM","ARTHIST","185FS","THE LANGUAGES OF ART","1","13:25","14:40","7201","MoWe"
1500,2786,2,6876,FALSE,FALSE,42,45,"LEC","ARTHIST","205","THE AEGEAN BRONZE AGE","1","10:05","11:20","7706","TuTh"
1500,550,2,2474,FALSE,TRUE,15,20,"LEC","ARTHIST","225","GOTHIC CATHEDRALS","1","13:25","14:15","7704","TuTh"
